"Var1","Var2","Freq"
"Donor5","FOLR2+ Macrophages (FOLR2/SELENOP/APOE+)",314
"Donor6","FOLR2+ Macrophages (FOLR2/SELENOP/APOE+)",104
"Donor7","FOLR2+ Macrophages (FOLR2/SELENOP/APOE+)",90
"Donor1","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",73
"Donor2","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",120
"Donor3","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",104
"Donor4","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",81
"Donor5","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",94
"Donor6","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",97
"Donor7","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",67
"Donor1","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",71
"Donor2","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",48
"Donor3","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",104
"Donor4","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",37
"Donor5","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",333
"Donor6","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",287
"Donor7","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",271
"Donor1","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",21
"Donor2","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",12
"Donor3","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",53
"Donor4","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",49
"Donor5","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",56
"Donor6","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",99
"Donor7","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",25
"Donor1","NK cells (KIR/KLRC/NCAM1/GNLY+)",29
"Donor2","NK cells (KIR/KLRC/NCAM1/GNLY+)",1
"Donor3","NK cells (KIR/KLRC/NCAM1/GNLY+)",2
"Donor4","NK cells (KIR/KLRC/NCAM1/GNLY+)",7
"Donor5","NK cells (KIR/KLRC/NCAM1/GNLY+)",3
"Donor6","NK cells (KIR/KLRC/NCAM1/GNLY+)",88
"Donor7","NK cells (KIR/KLRC/NCAM1/GNLY+)",5
"Donor1","pDC (SCT/CLEC4C/LILRA4+)",22
"Donor2","pDC (SCT/CLEC4C/LILRA4+)",9
"Donor3","pDC (SCT/CLEC4C/LILRA4+)",26
"Donor4","pDC (SCT/CLEC4C/LILRA4+)",13
"Donor5","pDC (SCT/CLEC4C/LILRA4+)",3
"Donor6","pDC (SCT/CLEC4C/LILRA4+)",43
"Donor7","pDC (SCT/CLEC4C/LILRA4+)",15
"Donor1","γδ T cells (TRDC/TRGC2+)",17
"Donor2","γδ T cells (TRDC/TRGC2+)",14
"Donor3","γδ T cells (TRDC/TRGC2+)",5
"Donor4","γδ T cells (TRDC/TRGC2+)",3
"Donor5","γδ T cells (TRDC/TRGC2+)",7
"Donor6","γδ T cells (TRDC/TRGC2+)",9
"Donor7","γδ T cells (TRDC/TRGC2+)",11
