"Var1","Var2","Freq"
"Donor2","FOLR2+ Macrophages (FOLR2/SELENOP/APOE+)",1.434
"Donor3","FOLR2+ Macrophages (FOLR2/SELENOP/APOE+)",3.471
"Donor4","FOLR2+ Macrophages (FOLR2/SELENOP/APOE+)",2.919
"Donor5","FOLR2+ Macrophages (FOLR2/SELENOP/APOE+)",22.207
"Donor6","FOLR2+ Macrophages (FOLR2/SELENOP/APOE+)",5.631
"Donor7","FOLR2+ Macrophages (FOLR2/SELENOP/APOE+)",8.115
"Donor1","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",7.791
"Donor2","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",12.295
"Donor3","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",8.595
"Donor4","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",5.031
"Donor5","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",6.648
"Donor6","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",5.252
"Donor7","IL7R+ CD4 T (IL7R/KLRB1/RORA; memory-like)",6.041
"Donor1","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",7.577
"Donor2","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",4.918
"Donor3","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",8.595
"Donor4","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",2.298
"Donor5","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",23.55
"Donor6","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",15.539
"Donor7","Inflammatory/Classical Monocytes (S100A8/S100A9/FCN1/VCAN+)",24.436
"Donor1","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",2.241
"Donor2","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",1.23
"Donor3","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",4.38
"Donor4","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",3.043
"Donor5","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",3.96
"Donor6","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",5.36
"Donor7","MARCO+ Macrophages (MARCO/NR1H3/APOC2/MSR1+)",2.254
"Donor1","NK cells (KIR/KLRC/NCAM1/GNLY+)",3.095
"Donor2","NK cells (KIR/KLRC/NCAM1/GNLY+)",0.102
"Donor3","NK cells (KIR/KLRC/NCAM1/GNLY+)",0.165
"Donor4","NK cells (KIR/KLRC/NCAM1/GNLY+)",0.435
"Donor5","NK cells (KIR/KLRC/NCAM1/GNLY+)",0.212
"Donor6","NK cells (KIR/KLRC/NCAM1/GNLY+)",4.764
"Donor7","NK cells (KIR/KLRC/NCAM1/GNLY+)",0.451
"Donor1","pDC (SCT/CLEC4C/LILRA4+)",2.348
"Donor2","pDC (SCT/CLEC4C/LILRA4+)",0.922
"Donor3","pDC (SCT/CLEC4C/LILRA4+)",2.149
"Donor4","pDC (SCT/CLEC4C/LILRA4+)",0.807
"Donor5","pDC (SCT/CLEC4C/LILRA4+)",0.212
"Donor6","pDC (SCT/CLEC4C/LILRA4+)",2.328
"Donor7","pDC (SCT/CLEC4C/LILRA4+)",1.353
"Donor1","γδ T cells (TRDC/TRGC2+)",1.814
"Donor2","γδ T cells (TRDC/TRGC2+)",1.434
"Donor3","γδ T cells (TRDC/TRGC2+)",0.413
"Donor4","γδ T cells (TRDC/TRGC2+)",0.186
"Donor5","γδ T cells (TRDC/TRGC2+)",0.495
"Donor6","γδ T cells (TRDC/TRGC2+)",0.487
"Donor7","γδ T cells (TRDC/TRGC2+)",0.992
